strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4
farthest_package_first,3,2,100,9346,9273,91363.26,2031.3,17755,24518,0.46,4632.91,4779.62,13200,136.86,501.83,250.92
farthest_package_first,4,2,100,10457,10379,92728.36,2404.78,17872,24227,0.45,4846.54,4842.79,12720,65.39,196.17,294.25
farthest_package_first,5,2,100,10663,10553,98601.83,2856.36,18873,24820,0.44,4794.61,4906.1,12600,135.12,180.17,2162.0
farthest_package_first,6,2,100,10950,10846,100242.46,2495.48,19376,25271,0.43,5256.14,4914.01,12840,101.05,247.0,277.88
farthest_package_first,7,2,100,11332,11246,101533.24,2271.2,19477,25440,0.44,5269.91,5371.79,12840,68.38,72.93,273.5
farthest_package_first,8,2,100,10949,10845,98926.81,2586.48,19060,25114,0.44,5117.03,5119.95,12840,180.06,480.17,720.25
farthest_package_first,9,2,100,11581,11446,106589.41,2681.72,20531,26185,0.43,5341.61,5302.29,12960,133.12,288.42,432.62
farthest_package_first,0,2,200,16053,15896,133149.68,8368.53,29579,42744,0.48,7375.67,7487.89,26280,166.97,182.15,375.69
farthest_package_first,1,2,200,15961,15835,137823.31,8104.14,30499,43306,0.47,7296.11,7401.14,26280,39.3,50.22,150.67
farthest_package_first,2,2,200,15221,15093,131939.04,6165.35,29332,41504,0.47,7114.21,6935.34,25200,6.75,11.57,30.38
farthest_package_first,3,2,200,15673,15525,131367.65,6214.74,29198,41555,0.47,7011.63,7080.25,25320,54.68,80.2,75.19
farthest_package_first,4,2,200,17740,17605,140986.54,8180.84,31160,43925,0.47,7778.17,7961.48,26520,121.76,192.79,144.59
farthest_package_first,5,2,200,15382,15244,125875.44,8120.39,27794,40392,0.48,6747.84,6792.29,24840,20.54,95.83,47.92
farthest_package_first,6,2,200,15775,15649,130421.75,5948.92,29041,41321,0.47,6912.21,7099.6,25200,44.21,140.0,210.0
farthest_package_first,7,2,200,16506,16374,130216.47,5656.32,29404,42486,0.48,7284.77,7323.46,26400,150.34,200.46,300.69
farthest_package_first,8,2,200,17264,17132,130906.7,7880.54,28984,41853,0.48,7035.56,7358.64,25680,143.58,246.14,646.12
farthest_package_first,9,2,200,16326,16180,133342.2,8120.02,29524,42382,0.48,7317.13,7410.85,25920,59.97,94.96,142.44
farthest_package_first,0,3,50,2391,2307,26907.63,2666.5,3829,9448,0.82,1032.94,1019.1,6120,135.5,271.0,271.0
farthest_package_first,1,3,50,2595,2523,31447.92,2555.4,4255,10369,0.81,1134.82,1197.12,6480,8.85,19.67,177.0
farthest_package_first,2,3,50,4026,3942,35332.19,2669.4,5328,10613,0.66,1352.32,1329.0,6240,3.56,19.0,57.0
