strategy,scenario_id,drone_capacity,no_customers,no_steps,drone_travel_distance,utilization
closest_package_first,5,3,50,2176,33337.49415612358,0.25674019607843135
closest_package_first,6,3,50,1773,29011.5889169753,0.27439368302312467
closest_package_first,7,3,50,1741,28651.171580970367,0.2753206969174804
closest_package_first,8,3,50,1673,27686.621999818966,0.27714684200039846
closest_package_first,9,3,50,1910,28204.95177098988,0.24738219895287958
closest_package_first,10,3,100,3481,56172.62959837176,0.27061189313415684
closest_package_first,11,3,100,3410,57968.24313155954,0.28514173998044967
closest_package_first,12,3,100,3348,58519.609985611736,0.29291119076065314
closest_package_first,13,3,100,3595,52677.94670437078,0.24543347241539173
closest_package_first,14,3,100,3252,55813.31579672874,0.2878228782287823
closest_package_first,15,3,100,3473,57702.97580096561,0.2786255878683175
closest_package_first,16,3,100,3971,54824.436765958795,0.2311760261898766
closest_package_first,17,3,100,3618,59227.08580997266,0.2744610281923715
closest_package_first,18,3,100,3375,53834.693991574684,0.2676049382716049
closest_package_first,19,3,100,3292,57039.36231088312,0.29050222762251926
closest_package_first,20,3,200,6120,77499.97519705346,0.21290849673202614
closest_package_first,21,3,200,6324,77651.17466672401,0.20651486401012017
closest_package_first,22,3,200,6193,72893.57544405834,0.19812691748748587
closest_package_first,23,3,200,6037,75849.41025821777,0.21117000717795814
closest_package_first,24,3,200,6146,77493.4883458194,0.2119264562316954
closest_package_first,25,3,200,5999,79203.45068740407,0.22198144135133632
closest_package_first,26,3,200,5545,69927.84770527025,0.2120228434024647
closest_package_first,27,3,200,5958,74374.39426219897,0.2100537092984223
closest_package_first,28,3,200,5812,75304.394303103,0.21762445515026382
closest_package_first,29,3,200,5788,75602.89990281995,0.2199090071412117
closest_package_first,30,3,500,12905,112876.63417905368,0.14794007490636704
closest_package_first,31,3,500,13137,117193.17061246771,0.15080815000888076
closest_package_first,32,3,500,13449,121003.15657835072,0.15206830743301855
closest_package_first,33,3,500,13656,117205.14779263386,0.14518648701425502
closest_package_first,34,3,500,14006,117140.15743916208,0.14149888143176734
closest_package_first,35,3,500,13822,113561.69244533364,0.13898133410504993
closest_package_first,36,3,500,13491,116041.9333109724,0.14547970251772788
closest_package_first,37,3,500,13141,113507.73672829213,0.1458666260812216
closest_package_first,38,3,500,13240,114900.13942596149,0.14677744209466265
closest_package_first,39,3,500,13472,118335.53060535187,0.14849317102137768
most_packages_first,0,1,50,2765,59670.05553952979,0.36009644364074744
most_packages_first,1,1,50,2791,59463.87562301154,0.3551892989370596
most_packages_first,2,1,50,2422,64210.53960012713,0.4415083952656207
most_packages_first,3,1,50,2446,71287.54047598703,0.48582720087217224
most_packages_first,4,1,50,2504,67863.67683375583,0.45114483493077745
most_packages_first,5,1,50,2895,67456.26385362336,0.38837075417386296
most_packages_first,6,1,50,2321,62140.43265530432,0.44657475226195603
most_packages_first,7,1,50,2642,62153.77094802165,0.3916225082008579
most_packages_first,8,1,50,2159,54045.58135760237,0.41701404971437395
most_packages_first,9,1,50,2478,57147.225786450246,0.38404627387678236
most_packages_first,10,1,100,4411,120388.57543467676,0.45499886647018817
most_packages_first,11,1,100,4674,126111.3835834665,0.45000713165026385
most_packages_first,12,1,100,4769,134005.44872498413,0.4677780107639617
most_packages_first,13,1,100,4630,120464.90350901273,0.43369330453563715
most_packages_first,14,1,100,4614,122579.23744905315,0.4427105909550643
most_packages_first,15,1,100,5070,135706.19794826445,0.4465154503616042
most_packages_first,16,1,100,5230,122709.30424534676,0.3907584448693435
most_packages_first,17,1,100,4816,131714.45090875519,0.45587624584717606
most_packages_first,18,1,100,4895,123131.06340908352,0.41947565543071164
most_packages_first,19,1,100,4868,129128.30858040207,0.4420021911804985
most_packages_first,20,1,200,8264,172985.57877466833,0.34884236850596967
most_packages_first,21,1,200,8629,170386.10927165148,0.3291034109784834
most_packages_first,22,1,200,7764,161090.77579458716,0.34591275974583546
most_packages_first,23,1,200,7780,173242.75343297014,0.37105826906598116
most_packages_first,24,1,200,8385,174277.424370179,0.3462333532100974
most_packages_first,25,1,200,7814,173294.0331351801,0.36972101356539544
most_packages_first,26,1,200,7480,161939.0218979809,0.3607620320855615
most_packages_first,27,1,200,7752,168657.47178240828,0.3627450980392157
most_packages_first,28,1,200,7562,170834.4993977207,0.3761350612712686
most_packages_first,29,1,200,7653,168616.9898867912,0.3675247179755216
most_packages_first,30,1,500,15554,249809.28605416266,0.26772320089151774
most_packages_first,31,1,500,15788,258593.002487444,0.27293936322945694
most_packages_first,32,1,500,16754,270869.47547191894,0.2695973100951017
most_packages_first,33,1,500,16811,264298.33183982095,0.26191184343584556
most_packages_first,34,1,500,17181,260785.86916839203,0.2530896532991871
most_packages_first,35,1,500,16606,254266.97505152016,0.2553494720783652
most_packages_first,36,1,500,16468,261236.3388218339,0.26442190915715325
most_packages_first,37,1,500,16447,251515.2392431844,0.2546361038487262
most_packages_first,38,1,500,16446,257010.16496795233,0.260458470144716
most_packages_first,39,1,500,16409,262965.3522964783,0.26705872793385743
most_packages_first,0,2,50,2098,35578.111874205075,0.28376231331426754
most_packages_first,1,2,50,2207,36282.16280184691,0.2748074309016765
most_packages_first,2,2,50,1858,38103.29698967222,0.34248295658414063
most_packages_first,3,2,50,1972,42688.35175302594,0.36173089925625423
most_packages_first,4,2,50,1894,41747.12936645125,0.3679162266807462
most_packages_first,5,2,50,2186,38915.57494555838,0.297804208600183
most_packages_first,6,2,50,1744,38438.875717771305,0.36869266055045874
most_packages_first,7,2,50,2032,36276.90021380901,0.2981463254593176
most_packages_first,8,2,50,1794,31560.56502250805,0.29431438127090304
most_packages_first,9,2,50,2173,35814.50762455183,0.2754256787850897
most_packages_first,10,2,100,3444,69823.67711956674,0.3389469608981804
most_packages_first,11,2,100,3664,73854.3099812606,0.33719978165938863
most_packages_first,12,2,100,3635,75820.83000047406,0.34832645575424115
most_packages_first,13,2,100,3510,68482.2925912319,0.3263532763532764
most_packages_first,14,2,100,3387,68982.26124210995,0.3406652888495227
most_packages_first,15,2,100,3587,75243.57820822466,0.3508967568069882
most_packages_first,16,2,100,3874,69536.1650877442,0.29981930820856995
most_packages_first,17,2,100,3607,75578.25791330743,0.3504297199889104
most_packages_first,18,2,100,3671,70994.67773842547,0.32343593934441117
most_packages_first,19,2,100,3707,72223.80226673417,0.32578005575038216
most_packages_first,20,2,200,6341,97815.32470884647,0.25829259317668085
most_packages_first,21,2,200,6773,96753.23082938432,0.2391849992617747
