strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
closest_package_first,1,1,500,25027,24888,257235.88,13407.91,46485,92826,0.67,10357.75,11683.54
closest_package_first,2,1,500,23822,23682,256795.46,15309.31,45283,89850,0.66,10324.43,11129.73
closest_package_first,3,1,500,24844,24699,256433.98,17744.26,45421,90974,0.67,10351.07,11365.48
closest_package_first,4,1,500,26216,26041,264639.14,16885.28,47296,94320,0.66,10453.23,11916.68
closest_package_first,5,1,500,25473,25257,252715.82,12725.28,46010,91772,0.66,9821.01,10979.89
closest_package_first,6,1,500,24614,24550,257320.43,15682.59,46217,92620,0.67,10376.16,11662.8
closest_package_first,7,1,500,26314,26101,269912.6,18315.05,47956,95904,0.67,10282.7,11907.37
closest_package_first,8,1,500,27660,27442,265092.0,15663.95,47538,94482,0.66,10283.41,11743.65
closest_package_first,9,1,500,24904,24796,262557.79,13478.53,47006,92888,0.66,10400.88,11648.99
closest_package_first,0,2,50,3782,3618,46028.51,2233.95,5210,10803,0.69,1051.77,1097.94
closest_package_first,1,2,50,3369,3149,39791.14,3133.03,4739,10060,0.71,974.4,995.82
closest_package_first,2,2,50,3500,3323,49689.21,2658.79,5914,11168,0.63,1084.32,1119.2
closest_package_first,3,2,50,3726,3486,43625.67,3200.72,5195,10675,0.68,1035.39,1103.72
closest_package_first,4,2,50,3413,3256,45412.0,2041.44,5462,10856,0.66,985.59,1031.98
closest_package_first,5,2,50,4372,4178,44427.18,2969.85,5534,10876,0.66,1023.58,1123.16
closest_package_first,6,2,50,3136,2889,36307.5,3503.56,4313,9597,0.74,959.58,941.9
closest_package_first,7,2,50,2980,2779,41125.82,2743.48,4848,10309,0.71,960.4,986.72
closest_package_first,8,2,50,3444,3270,45357.08,2663.03,5406,10728,0.66,1005.83,1060.4
closest_package_first,9,2,50,3094,2907,44215.46,2542.88,5274,10497,0.66,960.13,977.52
closest_package_first,0,2,100,8854,8670,102911.3,2819.58,13508,23042,0.57,2323.58,2560.42
closest_package_first,1,2,100,8104,7921,104836.18,2454.88,13502,22874,0.56,2397.76,2480.62
closest_package_first,2,2,100,7712,7530,100292.92,2296.9,13381,22663,0.56,2226.47,2420.91
closest_package_first,3,2,100,8476,8301,103562.47,2233.15,13681,22991,0.56,2270.9,2378.15
closest_package_first,4,2,100,6668,6464,98018.51,2528.52,12898,22073,0.57,2098.46,2277.7
closest_package_first,5,2,100,7585,7428,97459.62,2266.43,12697,22130,0.58,2235.28,2318.45
closest_package_first,6,2,100,7916,7700,102363.31,2549.5,13550,22980,0.57,2379.86,2504.33
closest_package_first,7,2,100,8866,8688,107195.21,2594.73,13981,23461,0.56,2492.75,2681.47
closest_package_first,8,2,100,7538,7375,98083.61,2372.76,13032,22432,0.57,2211.54,2315.42
closest_package_first,9,2,100,7557,7374,109608.44,2448.34,13967,23111,0.55,2552.55,2579.27
closest_package_first,0,2,200,10625,10433,129939.51,5999.93,20288,38240,0.63,4040.8,4375.59
closest_package_first,1,2,200,10951,10756,134323.9,6046.0,20562,38316,0.62,4213.33,4498.43
closest_package_first,2,2,200,12545,12351,144557.22,7930.82,21511,39610,0.61,4287.05,4687.9
closest_package_first,3,2,200,10605,10408,132179.1,6249.16,20144,37637,0.62,4247.88,4366.82
closest_package_first,4,2,200,10365,10175,127151.87,7774.38,19440,37365,0.64,4022.44,4257.06
closest_package_first,5,2,200,10833,10642,132965.52,8122.67,19914,37366,0.63,4295.66,4339.44
closest_package_first,6,2,200,12072,11883,142567.89,7538.59,21319,39394,0.62,4442.25,4815.86
closest_package_first,7,2,200,10696,10498,127541.5,8007.92,19581,37521,0.64,4229.35,4376.01
closest_package_first,8,2,200,11591,11395,138379.86,6273.36,20877,38741,0.62,4353.51,4567.53
closest_package_first,9,2,200,12717,12519,132132.95,6305.84,20302,37863,0.62,4446.55,4603.84
closest_package_first,0,2,500,21867,21719,207766.1,19117.63,39691,83934,0.7,9100.81,9760.65
closest_package_first,1,2,500,21299,21160,209029.02,13407.91,39979,82943,0.69,9012.37,9666.88
closest_package_first,2,2,500,20892,20752,205239.8,15309.31,38822,81061,0.7,9201.51,9353.34
closest_package_first,3,2,500,21290,21145,201529.26,17744.26,38399,81505,0.71,9214.4,9476.85
closest_package_first,4,2,500,22542,22367,212486.82,16885.28,40184,83915,0.7,9356.27,9973.9
closest_package_first,5,2,500,21758,21542,204038.96,12725.28,39310,81719,0.69,9048.73,9272.76
closest_package_first,6,2,500,21674,21610,207647.78,15682.59,39707,83313,0.7,9141.91,9786.89
closest_package_first,7,2,500,22270,22057,212378.24,18315.05,39742,83416,0.7,9357.07,9828.36
closest_package_first,8,2,500,23161,22943,211181.02,15663.95,40005,83069,0.69,9188.27,9706.57
closest_package_first,9,2,500,21113,21005,212087.43,13478.53,40354,83255,0.69,9370.77,9847.18
closest_package_first,0,3,50,3467,3303,40489.53,2233.95,4712,10252,0.73,959.02,992.48
closest_package_first,1,3,50,2839,2619,32741.66,3133.03,4065,9239,0.76,894.1,890.36
closest_package_first,2,3,50,2774,2604,36208.31,2658.79,4503,9706,0.72,929.98,931.86
closest_package_first,3,3,50,3223,2983,33379.95,3200.72,4157,9302,0.75,935.96,936.26
closest_package_first,4,3,50,2863,2706,37042.22,2041.44,4604,9787,0.71,865.08,884.24
closest_package_first,5,3,50,3587,3393,34880.26,2969.85,4780,9925,0.69,1005.95,996.26
closest_package_first,6,3,50,2982,2735,32831.84,3503.56,4195,9490,0.75,889.7,926.62
closest_package_first,7,3,50,2427,2226,30905.75,2743.48,3657,9291,0.85,861.2,889.7
closest_package_first,8,3,50,2791,2617,35527.26,2663.03,4386,9512,0.72,870.98,882.02
closest_package_first,9,3,50,2904,2717,35655.02,2542.88,4452,9764,0.73,870.95,896.04
closest_package_first,0,3,100,8305,8121,92423.94,2819.58,12279,21636,0.59,2160.53,2310.01
closest_package_first,1,3,100,7746,7563,96425.4,2454.88,12641,21917,0.58,2172.17,2255.98
closest_package_first,2,3,100,7056,6874,86240.96,2296.9,11598,20784,0.6,1977.25,2060.56
closest_package_first,3,3,100,7473,7298,83876.58,2233.15,11208,20313,0.6,2141.71,1999.3
closest_package_first,4,3,100,6293,6105,84832.98,2528.52,11627,20884,0.6,1892.03,2004.89
closest_package_first,5,3,100,6881,6724,83574.94,2266.43,11103,20513,0.62,1961.54,1988.83
closest_package_first,6,3,100,7052,6836,89068.63,2549.5,12128,21302,0.59,2004.85,2107.24
closest_package_first,7,3,100,8056,7878,91559.63,2594.73,12113,21308,0.59,2169.04,2231.12
closest_package_first,8,3,100,6128,5965,81242.48,2372.76,11163,20162,0.6,1991.89,1905.5
closest_package_first,9,3,100,6862,6679,96577.44,2448.34,12647,21813,0.57,2196.96,2239.56
