strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,2,3,200,6141,5997,74209.86,8136.58,10908,31520,0.96,3093.58,3056.81,24240,0.0,0.0,477.5,0.5,0.33,0.5,0
farthest_package_first_MPA,3,3,200,6454,6307,72062.79,6280.9,10937,31545,0.96,3145.44,2993.53,24480,0.0,0.0,263.0,0.5,0.33,0.5,0
farthest_package_first_MPA,4,3,200,7140,7010,80839.38,6452.52,11375,32896,0.96,3272.86,3244.93,24960,0.0,0.0,487.88,0.5,0.33,0.5,1
farthest_package_first_MPA,5,3,200,6297,6160,72518.57,6314.12,10990,31483,0.95,3034.71,3036.52,24360,0.0,0.0,85.67,0.5,0.33,0.5,0
farthest_package_first_MPA,6,3,200,6534,6386,73048.17,7806.99,10958,31399,0.96,3111.95,3083.14,24240,0.0,0.0,67.5,0.5,0.33,0.5,0
farthest_package_first_MPA,7,3,200,6291,6153,74123.43,5810.8,10916,31743,0.97,3057.43,3007.89,24480,0.0,0.0,174.5,0.5,0.33,0.5,0
farthest_package_first_MPA,8,3,200,6434,6300,74546.2,6031.22,10970,31565,0.96,3025.96,3017.84,24240,0.0,0.0,64.5,0.5,0.33,0.5,0
farthest_package_first_MPA,9,3,200,6753,6629,75542.45,6306.67,10895,31887,0.98,3092.46,3077.44,24480,0.0,0.0,305.5,0.5,0.33,0.5,0
farthest_package_first_MPA,0,3,500,14915,14751,123689.54,13954.83,25918,73319,0.94,6812.62,6882.51,61320,0.0,0.0,263.82,0.5,0.33,0.5,24
farthest_package_first_MPA,1,3,500,15316,15218,120358.32,14038.29,25345,72760,0.96,7039.22,6807.7,61080,0.0,0.0,103.67,0.5,0.33,0.5,31
farthest_package_first_MPA,2,3,500,14903,14737,125045.6,15682.28,25833,73576,0.95,6982.1,6898.34,61440,0.0,0.0,358.58,0.5,0.33,0.5,30
farthest_package_first_MPA,3,3,500,13646,13471,115310.5,16075.43,24817,71899,0.97,6898.21,6798.43,60720,0.0,0.0,317.67,0.5,0.33,0.5,2
farthest_package_first_MPA,4,3,500,13925,13744,119810.16,14443.05,25557,73062,0.95,6746.25,6778.64,61440,0.0,0.0,335.83,0.5,0.33,0.5,18
farthest_package_first_MPA,5,3,500,14204,14101,117409.19,16431.82,25239,72346,0.96,6813.49,6850.39,60960,0.0,0.0,302.25,0.5,0.33,0.5,6
farthest_package_first_MPA,6,3,500,13822,13715,115218.61,16185.93,25069,72227,0.96,6890.46,6861.31,61080,0.0,0.0,237.22,0.5,0.33,0.5,3
farthest_package_first_MPA,7,3,500,14443,14272,126222.05,14908.34,25428,73084,0.96,6891.47,6809.42,60840,0.0,0.0,219.71,0.5,0.33,0.5,35
farthest_package_first_MPA,8,3,500,14251,14144,122284.96,16151.91,25630,73435,0.96,6896.67,6920.25,61560,0.0,0.0,293.77,0.5,0.33,0.5,6
farthest_package_first_MPA,9,3,500,14125,13968,120059.0,15418.85,25290,72496,0.96,6905.51,6865.72,60840,0.0,0.0,617.86,0.5,0.33,0.5,13
farthest_package_first_MPA,0,4,50,1843,1752,22652.56,2666.5,2994,8237,0.92,896.86,879.74,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,1,4,50,1747,1682,25600.17,2555.4,3017,8524,0.94,893.42,905.94,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,2,4,50,1907,1827,25372.95,2669.4,3040,8504,0.93,925.23,889.5,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,3,4,50,1783,1669,24937.94,2277.62,3033,8463,0.93,881.07,862.34,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,4,4,50,1835,1735,22511.67,2663.82,3071,8217,0.89,884.35,869.74,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,5,4,50,2324,2214,25763.69,2640.25,3353,8545,0.85,1000.41,996.62,6000,0.0,-10,0.0,0.5,-10,0.25,0
farthest_package_first_MPA,6,4,50,1765,1675,26124.37,2172.82,3030,8580,0.94,883.41,888.36,6000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,50,1819,1701,26024.57,2737.84,2975,8566,0.96,911.17,890.72,6000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,8,4,50,2051,1913,25570.06,3099.96,3261,8524,0.87,943.36,913.78,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,9,4,50,1910,1821,24330.73,2959.0,3142,8399,0.89,901.52,898.1,6000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,0,4,100,3474,3375,47707.65,2646.48,5802,16705,0.96,1692.7,1658.7,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,1,4,100,3178,3084,48248.09,2508.64,5808,16755,0.96,1652.54,1601.84,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,2,4,100,3157,3048,47637.94,2630.99,5831,16697,0.95,1613.13,1601.21,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,3,4,100,3221,3136,45001.37,2031.3,5902,16431,0.93,1573.19,1567.74,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,4,4,100,3322,3224,45025.8,2404.78,5925,16436,0.92,1589.95,1588.39,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,5,4,100,3188,3062,46342.79,2856.36,5704,16570,0.97,1594.49,1598.74,12000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,6,4,100,3168,3068,48096.59,2495.48,5753,16749,0.97,1700.91,1591.16,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,100,3445,3364,47045.91,2271.2,5781,16640,0.96,1629.42,1613.83,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,8,4,100,3223,3105,46890.88,2586.48,5733,16625,0.97,1638.03,1613.53,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,9,4,100,3268,3156,50623.86,2681.72,6029,16995,0.94,1654.96,1618.54,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,0,4,200,5764,5618,61798.53,6432.7,10589,30043,0.95,2908.92,2896.69,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,1,4,200,5851,5724,64893.83,6335.12,10739,30363,0.94,2957.84,2901.03,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,2,4,200,5914,5758,61493.28,8136.58,10509,30026,0.95,2963.65,2926.71,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,3,4,200,6181,6034,59378.02,6280.9,10395,29812,0.96,3011.31,2861.53,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,4,4,200,6592,6461,65741.0,6452.52,10726,30447,0.95,3055.28,3010.39,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,5,4,200,5844,5707,60606.6,6314.12,10529,29937,0.95,2922.46,2927.72,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,6,4,200,6393,6254,60538.93,7806.99,10601,29919,0.94,2987.82,2958.47,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,200,6085,5948,62032.5,5810.8,10568,30067,0.95,2968.9,2895.1,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,8,4,200,6326,6189,61848.72,6031.22,10454,30062,0.96,2886.0,2884.97,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,9,4,200,6516,6392,63078.16,6306.67,10455,30174,0.96,2950.5,2912.76,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,0,4,500,14153,13982,101699.16,13954.83,24575,69836,0.95,6456.76,6512.07,60000,0.0,0.0,0.0,0.5,0.33,0.25,7
farthest_package_first_MPA,1,4,500,14595,14497,98095.59,14038.29,24505,69498,0.95,6913.33,6677.44,60000,0.0,0.0,0.0,0.5,0.33,0.25,6
farthest_package_first_MPA,2,4,500,14069,13896,102750.52,15682.28,24649,69949,0.95,6749.84,6670.23,60000,0.0,0.0,0.0,0.5,0.33,0.25,9
farthest_package_first_MPA,3,4,500,13291,13116,96984.36,16075.43,23981,69376,0.96,6686.23,6597.58,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,4,4,500,13350,13159,99872.73,14443.05,24259,69656,0.96,6446.74,6465.98,60000,0.0,0.0,0.0,0.5,0.33,0.25,4
farthest_package_first_MPA,5,4,500,13548,13441,97417.64,16431.82,24342,69416,0.95,6625.36,6657.43,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,6,4,500,13277,13167,96675.94,16185.93,24265,69318,0.95,6667.68,6634.56,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,500,13808,13635,102147.8,14908.34,24579,69882,0.95,6762.37,6666.58,60000,0.0,0.0,0.0,0.5,0.33,0.25,5
farthest_package_first_MPA,8,4,500,13522,13415,100949.5,16151.91,24415,69761,0.95,6647.63,6672.82,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,9,4,500,13856,13689,97711.7,15418.85,24363,69460,0.95,6693.23,6658.06,60000,0.0,0.0,0.0,0.5,0.33,0.25,1
farthest_package_first,0,1,50,2367,2287,51737.79,2666.5,3906,11248,0.96,1210.63,1192.32,6120,2.0,-10,-10,1.0,-10,-10,0
