strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
closest_package_first,6,3,500,13890,13831,113926.57,15682.59,25670,72966,0.95,6565.14,6899.86
closest_package_first,7,3,500,14522,14318,120583.25,18315.05,26118,74580,0.95,6600.23,6943.98
closest_package_first,8,3,500,15181,14963,119723.02,15663.95,25990,73782,0.95,6729.23,6989.68
closest_package_first,9,3,500,14112,14012,116249.27,13478.53,25876,73915,0.95,6607.94,6889.48
most_packages_first,0,1,50,2872,2708,66252.5,2233.95,4601,13292,0.96,1261.07,1412.4
most_packages_first,1,1,50,2738,2518,55925.49,3133.03,4154,11784,0.95,1193.9,1241.66
most_packages_first,2,1,50,2614,2468,65663.17,2658.79,4576,13230,0.96,1235.48,1383.74
most_packages_first,3,1,50,2953,2787,61247.71,3200.72,4479,12906,0.96,1281.61,1461.04
most_packages_first,4,1,50,2696,2554,64734.47,2041.44,4724,13494,0.95,1216.86,1435.9
most_packages_first,5,1,50,3185,3008,59710.91,2969.85,4546,13108,0.96,1252.92,1503.5
most_packages_first,6,1,50,2722,2475,53330.76,3503.56,4187,11646,0.93,1166.92,1236.94
most_packages_first,7,1,50,2589,2438,59409.24,2743.48,4355,12486,0.96,1203.45,1323.8
most_packages_first,8,1,50,2554,2395,61207.12,2663.03,4360,12542,0.96,1178.11,1272.36
most_packages_first,9,1,50,2419,2275,63324.31,2542.88,4422,12880,0.97,1205.04,1325.54
most_packages_first,0,1,100,5723,5572,129044.15,2819.58,9165,26834,0.98,2374.32,2777.96
most_packages_first,1,1,100,5257,5076,128806.1,2454.88,8954,25852,0.96,2319.06,2527.78
most_packages_first,2,1,100,5092,4929,123540.97,2296.9,8902,25692,0.96,2273.83,2546.69
most_packages_first,3,1,100,5338,5168,131449.62,2233.15,9134,26484,0.97,2373.73,2658.58
most_packages_first,4,1,100,4760,4590,120311.36,2528.52,8781,25604,0.97,2250.67,2565.76
most_packages_first,5,1,100,5129,4972,120950.98,2266.43,8787,25538,0.97,2273.29,2568.82
most_packages_first,6,1,100,4938,4781,123031.25,2549.5,8670,25504,0.98,2254.52,2502.52
most_packages_first,7,1,100,5729,5555,136409.72,2594.73,9591,28034,0.97,2425.82,2935.24
most_packages_first,8,1,100,5211,5048,126907.09,2372.76,9101,26244,0.96,2309.99,2633.39
most_packages_first,9,1,100,4864,4681,136666.06,2448.34,9200,26880,0.97,2360.53,2620.19
most_packages_first,0,1,200,7880,7688,160884.14,5999.93,14794,42974,0.97,3576.04,4040.93
most_packages_first,1,1,200,7883,7693,163551.29,6046.0,14622,42998,0.98,3651.52,4089.7
most_packages_first,2,1,200,9063,8880,185397.02,7930.82,15852,46648,0.98,3836.02,4526.51
most_packages_first,3,1,200,7733,7538,165905.68,6249.16,14573,42652,0.98,3718.64,4071.91
most_packages_first,4,1,200,8099,7930,160651.56,7774.38,14494,42706,0.98,3683.91,4125.98
most_packages_first,5,1,200,7877,7693,163493.74,8122.67,14387,41946,0.97,3720.87,3999.93
most_packages_first,6,1,200,8677,8494,176138.37,7538.59,15434,44872,0.97,3874.7,4436.53
most_packages_first,7,1,200,8165,7993,167396.41,8007.92,15065,43980,0.97,3747.31,4290.66
most_packages_first,8,1,200,8350,8178,173948.71,6273.36,15222,44540,0.98,3763.16,4290.0
most_packages_first,9,1,200,8952,8768,164007.92,6305.84,14443,42332,0.98,3777.23,4117.18
most_packages_first,0,1,500,17713,17579,263765.25,19117.63,32447,94708,0.97,7897.66,9066.51
most_packages_first,1,1,500,17313,17176,257235.88,13407.91,31833,92826,0.97,7805.19,8804.25
most_packages_first,2,1,500,16502,16351,256795.46,15309.31,30855,89850,0.97,7673.04,8271.54
most_packages_first,3,1,500,17484,17343,256433.98,17744.26,31095,90974,0.98,7830.08,8597.43
most_packages_first,4,1,500,17921,17747,264639.14,16885.28,32344,94320,0.97,7754.98,8840.67
most_packages_first,5,1,500,17332,17122,252715.82,12725.28,31340,91772,0.98,7427.07,8303.46
most_packages_first,6,1,500,16875,16746,257320.43,15682.59,31716,92620,0.97,7788.86,8754.68
most_packages_first,7,1,500,18215,18006,269912.6,18315.05,32867,95904,0.97,7698.76,8915.17
