strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,6,3,100,5473,5385,93923.93,2495.48,9961,21538,0.72,2938.74,2765.33,12240,0.0,0.0,42.5,0.5,0.33,0.5,75
farthest_package_first_MPA,7,3,100,5705,5624,90523.23,2271.2,9781,21080,0.72,2755.85,2772.14,12120,0.0,0.0,1.0,0.5,0.33,0.5,76
farthest_package_first_MPA,8,3,100,5786,5685,94367.98,2586.48,10032,21463,0.71,2871.05,2852.07,12120,0.0,0.0,498.0,0.5,0.33,0.5,75
farthest_package_first_MPA,9,3,100,5183,5061,90886.91,2681.72,9714,21235,0.73,2693.38,2682.45,12240,0.0,0.0,768.5,0.5,0.33,0.5,70
farthest_package_first_MPA,0,3,200,7940,7794,109854.13,6429.7,14949,35283,0.79,4029.39,4036.14,24480,0.0,0.0,113.75,0.5,0.33,0.5,138
farthest_package_first_MPA,1,3,200,9417,9275,113977.78,6088.1,15281,35588,0.78,4186.14,4100.86,24360,0.0,0.0,110.33,0.5,0.33,0.5,139
farthest_package_first_MPA,2,3,200,7927,7782,111100.8,6165.35,15028,35175,0.78,3929.97,3978.61,24240,0.0,0.0,235.5,0.5,0.33,0.5,131
farthest_package_first_MPA,3,3,200,8165,8020,105380.38,8224.83,14639,34852,0.79,4067.74,3903.39,24480,0.0,0.0,384.25,0.5,0.33,0.5,129
farthest_package_first_MPA,4,3,200,8873,8743,117168.11,8180.84,15739,36496,0.77,4260.38,4153.38,24960,0.0,0.0,138.0,0.5,0.33,0.5,141
farthest_package_first_MPA,5,3,200,8593,8452,114450.7,6227.86,15236,35635,0.78,3993.82,4025.03,24360,0.0,0.0,135.0,0.5,0.33,0.5,134
farthest_package_first_MPA,6,3,200,8468,8344,109139.85,6283.41,14779,34973,0.79,3882.42,3965.91,24240,0.0,0.0,62.0,0.5,0.33,0.5,128
farthest_package_first_MPA,7,3,200,7792,7689,103604.05,7091.98,14624,34664,0.79,3973.32,3900.27,24480,0.0,0.0,198.25,0.5,0.33,0.5,122
farthest_package_first_MPA,8,3,200,8492,8393,109633.73,6359.47,14754,35031,0.79,4010.71,3993.85,24240,0.0,0.0,97.5,0.5,0.33,0.5,135
farthest_package_first_MPA,9,3,200,8617,8491,110945.61,8120.02,14936,35393,0.79,4030.09,4061.91,24480,0.0,0.0,63.25,0.5,0.33,0.5,130
farthest_package_first_MPA,0,3,500,17581,17481,176520.75,13469.04,31754,78547,0.82,8264.56,8269.86,61320,0.0,0.0,171.64,0.5,0.33,0.5,321
