strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,0,3,50,1853,1767,26181.24,2666.5,3193,8588,0.9,934.2,920.32,6000,0.0,-10,-10,1,-10,-10
farthest_package_first_MPA,1,3,50,1814,1731,32664.69,2555.4,3292,9587,0.97,959.64,985.64,6360,28.45,0.0,-10,13,3,-10
farthest_package_first_MPA,2,3,50,2034,1923,31736.96,2669.4,3214,9136,0.95,976.62,950.98,6000,0.0,0.0,-10,8,1,-10
farthest_package_first_MPA,3,3,50,1801,1692,30423.0,2277.62,3227,9248,0.96,966.11,963.0,6240,95.83,0.0,-10,5,1,-10
farthest_package_first_MPA,4,3,50,1729,1603,25732.29,2663.82,3082,8538,0.92,925.1,913.5,6000,0.0,-10,-10,2,-10,-10
farthest_package_first_MPA,5,3,50,2379,2236,32629.61,2640.25,3402,9582,0.94,1097.72,1027.72,6360,82.8,-10,9.0,7,-10,2
farthest_package_first_MPA,6,3,50,1887,1791,35897.6,2172.82,3409,9913,0.97,1018.41,943.86,6360,23.83,0.0,20.0,4,1,4
farthest_package_first_MPA,7,3,50,2130,1937,32895.45,2737.84,3433,9727,0.94,1037.95,934.06,6480,23.25,0.0,14.38,6,2,4
farthest_package_first_MPA,8,3,50,2055,1947,27808.92,3099.96,3269,8748,0.89,986.95,943.16,6000,0.0,0.0,-10,2,2,-10
farthest_package_first_MPA,9,3,50,1965,1876,28402.61,2959.0,3238,8923,0.92,976.85,935.1,6120,0.0,0.0,34.0,3,2,2
farthest_package_first_MPA,0,3,100,4251,4142,67024.92,2646.48,6890,20064,0.97,2050.94,1920.36,13440,66.53,0.0,31.0,28,1,4
farthest_package_first_MPA,1,3,100,3465,3313,65006.19,2508.64,6599,19014,0.96,1889.42,1755.68,12600,16.57,0.0,13.92,9,7,6
farthest_package_first_MPA,2,3,100,3681,3559,66923.37,2630.99,6637,19456,0.98,1915.9,1749.87,12840,121.5,0.0,18.94,9,2,8
farthest_package_first_MPA,3,3,100,3410,3305,59236.35,2031.3,6531,18931,0.97,1833.01,1755.95,13080,93.36,0.0,7.83,17,2,6
farthest_package_first_MPA,4,3,100,3503,3374,60232.82,2404.78,6327,18181,0.96,1793.07,1743.5,12240,22.33,0.0,1.0,10,2,2
farthest_package_first_MPA,5,3,100,3591,3468,63042.06,2856.36,6344,18589,0.98,1786.49,1793.43,12360,79.88,0.0,-10,11,4,-10
farthest_package_first_MPA,6,3,100,3659,3554,65274.93,2495.48,6612,19408,0.98,1895.28,1754.33,12960,39.95,0.0,19.88,17,3,4
farthest_package_first_MPA,7,3,100,3834,3728,64145.81,2271.2,6556,18935,0.96,1858.21,1835.38,12600,73.44,0.0,14.75,12,5,2
farthest_package_first_MPA,8,3,100,3491,3390,59868.85,2586.48,6321,18273,0.96,1829.13,1752.6,12360,8.06,0.0,15.0,10,2,2
farthest_package_first_MPA,9,3,100,3568,3471,67244.08,2681.72,6787,19362,0.95,1888.19,1816.19,12720,69.54,0.0,29.0,17,4,4
farthest_package_first_MPA,0,3,200,6499,6313,78245.17,8368.53,11349,32759,0.96,3205.28,3148.59,25080,30.61,0.0,16.25,23,11,8
farthest_package_first_MPA,1,3,200,6555,6409,82927.57,8104.14,11640,33947,0.97,3197.55,3172.72,25800,176.43,0.0,8.25,35,12,6
farthest_package_first_MPA,2,3,200,6240,6091,77724.45,6165.35,11208,32586,0.97,3178.35,3068.39,24960,50.72,0.0,32.5,24,7,4
farthest_package_first_MPA,3,3,200,6115,5979,75063.05,6214.74,11233,32441,0.96,3056.84,3033.22,25080,80.23,0.0,11.25,16,5,8
farthest_package_first_MPA,4,3,200,6679,6545,86426.63,8180.84,11721,34406,0.98,3280.7,3187.05,25920,114.05,0.0,12.25,27,8,16
farthest_package_first_MPA,5,3,200,6474,6281,77362.24,8120.39,11218,32678,0.97,3146.73,3061.81,25080,79.43,0.0,9.58,20,2,6
farthest_package_first_MPA,6,3,200,6187,6063,76974.62,5948.92,11274,32621,0.96,3036.21,3061.18,25080,77.45,0.0,14.0,26,4,4
farthest_package_first_MPA,7,3,200,6310,6170,77990.37,5656.32,11314,33199,0.98,3127.35,3066.28,25560,61.03,0.0,15.75,25,8,8
farthest_package_first_MPA,8,3,200,6575,6440,78153.78,7880.54,11194,32401,0.96,3129.74,3148.64,24720,34.61,0.0,36.12,22,7,4
farthest_package_first_MPA,9,3,200,6930,6773,82372.42,8120.02,11604,33641,0.97,3289.83,3244.32,25560,69.13,0.0,16.5,28,8,8
farthest_package_first_MPA,0,3,500,14843,14679,126210.93,16564.7,25952,75491,0.97,7015.71,6986.83,63240,56.07,0.0,11.84,71,21,22
farthest_package_first_MPA,1,3,500,14064,13959,122413.51,15439.21,26040,76194,0.98,7132.45,6952.59,64320,81.55,0.0,15.31,87,11,18
farthest_package_first_MPA,2,3,500,14453,14271,126416.03,19602.81,25990,75503,0.97,7371.48,7204.83,63240,42.93,0.0,14.29,67,19,24
farthest_package_first_MPA,3,3,500,14002,13827,118399.52,14056.26,25614,73642,0.96,7047.05,6930.62,62160,72.5,0.0,13.0,49,15,12
farthest_package_first_MPA,4,3,500,14169,14075,123997.77,17945.79,25577,75271,0.98,7022.95,6980.42,63240,59.46,0.0,20.65,57,23,24
farthest_package_first_MPA,5,3,500,13791,13672,121221.3,15654.77,25619,74520,0.97,6936.91,6879.74,62760,82.35,0.0,9.62,48,20,16
farthest_package_first_MPA,6,3,500,14271,14153,119339.21,15162.82,25580,74426,0.97,7022.36,7045.0,62880,44.74,0.0,12.42,62,21,18
farthest_package_first_MPA,7,3,500,14227,14010,126924.37,17981.04,25899,75437,0.97,7112.1,6972.69,63120,76.96,0.0,19.29,65,30,14
farthest_package_first_MPA,8,3,500,14481,14295,127742.76,16965.46,25988,75532,0.97,7019.04,7002.6,63120,44.11,0.0,15.15,61,18,26
farthest_package_first_MPA,9,3,500,15550,15386,120863.62,14977.09,25606,74494,0.97,7083.7,7067.53,62760,78.87,0.0,16.0,58,26,14
farthest_package_first,0,1,50,2383,2303,51737.79,2666.5,3926,11248,0.96,1215.63,1197.1,6120,1.0,-10,-10,2,-10,-10
farthest_package_first,1,1,50,2886,2818,72293.4,2555.4,5229,15080,0.96,1575.79,1665.68,7920,61.05,62.22,-10,20,9,-10
farthest_package_first,2,1,50,3065,2985,68714.35,2669.4,4874,14012,0.96,1477.45,1487.48,7200,37.88,62.0,-10,16,3,-10
farthest_package_first,3,1,50,2539,2436,62617.33,2277.62,4430,12812,0.96,1339.15,1330.32,6600,33.17,3.67,-10,6,3,-10
farthest_package_first,4,1,50,2344,2271,51410.8,2663.82,3908,11324,0.97,1233.1,1222.48,6240,100.5,-10,-10,4,-10,-10
farthest_package_first,5,1,50,3378,3293,61939.03,2640.25,4550,13090,0.96,1560.81,1577.94,6960,23.9,-10,68.75,10,-10,4
farthest_package_first,6,1,50,2732,2635,72981.18,2172.82,5034,14564,0.96,1488.26,1502.68,7320,72.0,80.33,63.5,6,3,8
farthest_package_first,7,1,50,2998,2886,70297.26,2737.84,5064,14646,0.96,1548.41,1542.82,7680,4.5,31.17,58.75,8,6,8
farthest_package_first,8,1,50,2770,2644,61323.96,3099.96,4399,12798,0.97,1387.7,1334.68,6720,50.0,31.0,-10,4,6,-10
farthest_package_first,9,1,50,2634,2545,62338.44,2959.0,4521,13372,0.99,1401.08,1406.44,7200,5.83,75.33,54.5,6,6,4
farthest_package_first,0,1,100,6147,6061,141024.71,2646.48,9994,29108,0.97,3091.74,3062.74,15120,32.03,63.0,64.5,36,3,8
farthest_package_first,1,1,100,5259,5167,140789.43,2508.64,10103,29532,0.97,2941.98,2972.0,15600,65.36,36.33,62.25,14,21,12
farthest_package_first,2,1,100,5734,5634,143914.16,2630.99,9965,28908,0.97,2910.24,2901.92,14640,26.08,28.5,66.44,12,6,16
farthest_package_first,3,1,100,4982,4897,132200.46,2031.3,9577,27978,0.97,2786.98,2854.77,14880,47.59,37.0,55.25,22,6,12
farthest_package_first,4,1,100,5102,5023,129481.84,2404.78,9111,26740,0.98,2701.22,2704.81,13920,39.56,47.17,60.25,18,6,4
farthest_package_first,5,1,100,5331,5213,135090.67,2856.36,9320,27302,0.98,2735.84,2792.81,13920,76.94,84.58,-10,16,12,-10
farthest_package_first,6,1,100,5459,5360,141264.61,2495.48,9774,28762,0.98,2901.68,2760.9,14760,42.05,39.11,49.0,22,9,8
farthest_package_first,7,1,100,5706,5625,138580.06,2271.2,9690,28256,0.97,2850.85,2893.9,14520,44.25,38.13,53.0,16,15,4
farthest_package_first,8,1,100,5281,5180,138119.64,2586.48,9431,27492,0.97,2792.88,2792.35,13800,1.38,69.67,80.0,16,6,4
farthest_package_first,9,1,100,5940,5818,153502.18,2681.72,10431,30456,0.97,3035.54,3031.64,15240,45.88,43.0,60.75,26,12,8
farthest_package_first,0,1,200,9257,9103,182586.91,8368.53,16417,48244,0.98,4607.67,4673.41,30240,26.64,24.79,51.12,36,33,16
farthest_package_first,1,1,200,9032,8903,190347.13,8104.14,16939,49516,0.97,4653.2,4717.18,30720,27.65,39.56,47.92,46,36,12
farthest_package_first,2,1,200,8502,8358,178594.68,6165.35,15797,46184,0.97,4356.69,4290.12,28560,33.06,53.9,49.12,36,21,8
farthest_package_first,3,1,200,8041,7897,170622.36,6214.74,15302,44798,0.98,4228.72,4266.4,27960,16.36,49.6,43.5,22,15,16
farthest_package_first,4,1,200,9599,9468,196094.31,8180.84,17260,50438,0.97,4805.05,4905.36,31080,35.89,53.58,51.06,38,24,32
farthest_package_first,5,1,200,8687,8558,172630.35,8120.39,15143,44282,0.97,4244.89,4249.85,27240,31.5,74.17,54.17,28,6,12
farthest_package_first,6,1,200,8204,8078,174526.28,5948.92,15421,45174,0.98,4209.29,4312.2,27960,43.89,22.33,48.62,38,12,8
farthest_package_first,7,1,200,8944,8814,179422.64,5656.32,16080,46970,0.97,4439.21,4463.4,29280,27.16,30.0,44.88,32,24,16
farthest_package_first,8,1,200,9098,8968,178365.37,7880.54,15669,46170,0.98,4381.3,4518.68,28560,25.0,47.1,55.62,36,21,8
farthest_package_first,9,1,200,9342,9198,185223.38,8120.02,16387,47910,0.97,4606.8,4664.6,29640,37.63,22.83,47.0,38,24,16
farthest_package_first,0,1,500,19391,19231,293624.08,16564.7,35558,104296,0.98,9496.15,9584.58,75600,14.58,27.44,42.02,110,63,44
